"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","Rank","UnitedStatesAllies2023"
428,1830211,-0.01105,64559,"Latvia","LVA","LV",428,"Europe","Northern Europe",true,"Republic of Latvia",62230,29.4104,76.173,151,"Ally"
233,1322765,-0.00249,45227,"Estonia","EST","EE",233,"Europe","Northern Europe",true,"Republic of Estonia",42750,30.9419,80.1394,156,"Ally"
638,981796,0.00795,2511,"Reunion","REU","RE",638,"Africa","Eastern Africa, Sub-Saharan Africa",false,"Réunion Island",2512,390.8424,1012.2817,161,"Ally"
242,936375,0.00711,18272,"Fiji","FJI","FJ",242,"Oceania","Melanesia",true,"Republic of Fiji",18270,51.2521,132.7428,162,"Ally"
90,740424,0.0223,28896,"Solomon Islands","SLB","SB",90,"Oceania","Melanesia",true,"Solomon Islands",27990,26.4532,68.5137,166,"Ally"
442,654768,0.01107,2586,"Luxembourg","LUX","LU",442,"Europe","Western Europe",true,"Grand Duchy of Luxembourg",2574.5,254.3282,658.7101,168,"Ally"
499,626485,-0.00095,13812,"Montenegro","MNE","ME",499,"Europe","Southern Europe",true,"Montenegro",13450,46.5788,120.6391,169,"Ally"
352,375318,0.00649,103000,"Iceland","ISL","IS",352,"Europe","Northern Europe",true,"Iceland",100830,3.7223,9.6407,179,"Ally"
254,312155,0.02495,83534,"French Guiana","GUF","GF",254,"South America","South America, Latin America",false,"Guiana",83534,3.7369,9.6785,183,"Ally"
258,308872,0.00847,4167,"French Polynesia","PYF","PF",258,"Oceania","Polynesia",false,"French Polynesia",3471,88.9865,230.4749,184,"Ally"
540,292991,0.01049,18575,"New Caledonia","NCL","NC",540,"Oceania","Melanesia",false,"New Caledonia",18280,16.028,41.5124,185,"Ally"
531,192077,0.00478,444,"Curacao","CUW","CW",531,"North America","Caribbean",false,"Country of Curaçao",444,432.6059,1120.4492,189,"Ally"
583,115224,0.00929,702,"Micronesia","FSM","FM",583,"Oceania","Micronesia",true,"Federated States of Micronesia",700,164.6057,426.3288,194,"Ally"
832,111802,0.00924,116,"Jersey","JEY","JE",832,"Europe","Northern Europe, Sub-Saharan Africa",false,"Bailiwick of Jersey",120,931.6833,2413.0598,195,"Ally"
850,98750,-0.00719,347,"United States Virgin Islands","VIR","VI",850,"North America","Caribbean",false,"Virgin Islands of the United States",347,284.5821,737.0677,200,"Ally"
833,84710,0.00226,572,"Isle of Man","IMN","IM",833,"Europe","Northern Europe",false,"Isle of Man",570,148.614,384.9104,202,"Ally"
136,69310,0.00879,264,"Cayman Islands","CYM","KY",136,"North America","Caribbean",false,"Cayman Islands",240,288.7917,747.9704,205,"Ally"
60,64069,-0.00179,54,"Bermuda","BMU","BM",60,"North America","Northern America",false,"Bermuda",54,1186.463,3072.9391,206,"Ally"
831,63544,0.00384,78,"Guernsey","GGY","GG",831,"Europe","Northern Europe",false,"Bailiwick of Guernsey",63,1008.6349,2612.3644,207,"Ally"
304,56643,0.00314,2166086,"Greenland","GRL","GL",304,"North America","Northern America",false,"Greenland",410450,0.138,0.3574,208,"Ally"
234,53270,0.00339,1393,"Faroe Islands","FRO","FO",234,"Europe","Northern Europe",false,"Faroe Islands",1366,38.9971,101.0024,209,"Ally"
580,49796,0.00494,464,"Northern Mariana Islands","MNP","MP",580,"Oceania","Micronesia",false,"Commonwealth of the Northern Mariana Islands",460,108.2522,280.3731,210,"Ally"
16,43914,-0.00811,199,"American Samoa","ASM","AS",16,"Oceania","Polynesia",false,"American Samoa",200,219.57,568.6863,214,"Ally"
292,32688.000000000004,0.0012,6.8,"Gibraltar","GIB","GI",292,"Europe","Southern Europe",false,"Gibraltar",6.8,4807.0588,12450.2824,219,"Ally"
92,31538,0.00744,151,"British Virgin Islands","VGB","VG",92,"North America","Caribbean",false,"Virgin Islands",150,210.2533,544.5561,221,"Ally"
184,17044,0.00194,240,"Cook Islands","COK","CK",184,"Oceania","Polynesia",false,"Cook Islands",240,71.0167,183.9332,223,"Ally"
660,15899,0.00265,91,"Anguilla","AIA","AI",660,"North America","Caribbean",false,"Anguilla",91,174.7143,452.51,224,"Ally"
876,11502,-0.00605,274,"Wallis and Futuna","WLF","WF",876,"Oceania","Polynesia",false,"Territory of the Wallis and Futuna Islands",274,41.9781,108.7233,226,"Ally"
238,3791,0.00291,12173,"Falkland Islands","FLK","FK",238,"South America","South America, Latin America",false,"Falkland Islands",12173,0.3114,0.8066,231,"Ally"
570,1935,0.00052,261,"Niue","NIU","NU",570,"Oceania","Polynesia",false,"Niue",261,7.4138,19.2017,232,"Ally"
